rank,name,url,content_richness_score,article_length,section_count,infobox_field_count,image_count,reference_count,limited_content
1,Aşağıçavuş,https://en.wikipedia.org/wiki/A%C5%9Fa%C4%9F%C4%B1%C3%A7avu%C5%9F,9.41,91,1,0,0,0,true
2,Oswell,https://en.wikipedia.org/wiki/Oswell,9.41,88,1,0,0,0,true
3,Tarao Naga,https://en.wikipedia.org/wiki/Tarao_Naga,9.42,95,1,0,0,0,true
4,Kambaata,https://en.wikipedia.org/wiki/Kambaata,9.42,94,1,0,0,0,true
5,Weston Fen,https://en.wikipedia.org/wiki/Weston_Fen,9.43,98,1,0,0,0,true
6,Budaung,https://en.wikipedia.org/wiki/Budaung,9.43,107,1,0,0,0,true
7,Fort Halifax,https://en.wikipedia.org/wiki/Fort_Halifax,9.43,104,1,0,0,0,true
8,Show Dogs (disambiguation),https://en.wikipedia.org/wiki/Show_Dogs_(disambiguation),9.44,110,1,0,0,0,true
9,R572 road,https://en.wikipedia.org/wiki/R572_road,9.44,111,1,0,0,0,true
10,R316 road,https://en.wikipedia.org/wiki/R316_road,9.44,111,1,0,0,0,true
11,"Peterhouse, Marondera","https://en.wikipedia.org/wiki/Peterhouse,_Marondera",9.45,116,1,0,0,0,true
12,Adli,https://en.wikipedia.org/wiki/Adli,9.45,120,1,0,0,0,true
13,Xiang of Qi,https://en.wikipedia.org/wiki/Xiang_of_Qi,9.46,124,1,0,0,0,true
14,HSSF,https://en.wikipedia.org/wiki/HSSF,9.46,125,1,0,0,0,true
15,Greek Watergate,https://en.wikipedia.org/wiki/Greek_Watergate,9.47,131,1,0,0,0,true
16,VYSO,https://en.wikipedia.org/wiki/VYSO,9.47,133,1,0,0,0,true
17,Santiago Ojeda,https://en.wikipedia.org/wiki/Santiago_Ojeda,9.47,126,1,0,0,0,true
18,Deaf Sam-yong,https://en.wikipedia.org/wiki/Deaf_Sam-yong,9.48,137,1,0,0,0,true
19,Jay Reynolds,https://en.wikipedia.org/wiki/Jay_Reynolds,9.48,137,1,0,0,0,true
20,Redmain,https://en.wikipedia.org/wiki/Redmain,9.49,145,1,0,0,0,true
21,Ivan Vasilev,https://en.wikipedia.org/wiki/Ivan_Vasilev,9.49,143,1,0,0,0,true
22,Burakabad,https://en.wikipedia.org/wiki/Burakabad,9.49,144,1,0,0,0,true
23,Richard Roe,https://en.wikipedia.org/wiki/Richard_Roe,9.5,146,1,0,0,0,true
24,Lanisce,https://en.wikipedia.org/wiki/Lanisce,9.5,146,1,0,0,0,true
25,Robert Bitmead,https://en.wikipedia.org/wiki/Robert_Bitmead,9.51,154,1,0,0,0,true
26,ARRT,https://en.wikipedia.org/wiki/ARRT,9.51,153,1,0,0,0,true
27,Ted Linley,https://en.wikipedia.org/wiki/Ted_Linley,9.51,157,1,0,0,0,true
28,Kalmunai Divisional Secretariat,https://en.wikipedia.org/wiki/Kalmunai_Divisional_Secretariat,9.52,161,1,0,0,0,true
29,Henri Duparc,https://en.wikipedia.org/wiki/Henri_Duparc,9.52,161,1,0,0,0,true
30,HMSA,https://en.wikipedia.org/wiki/HMSA,9.52,158,1,0,0,0,true
31,DW4,https://en.wikipedia.org/wiki/DW4,9.53,162,1,0,0,0,true
32,Kanneljärvi,https://en.wikipedia.org/wiki/Kannelj%C3%A4rvi,9.53,162,1,0,0,0,true
33,Hajde da se volimo,https://en.wikipedia.org/wiki/Hajde_da_se_volimo,9.54,164,1,0,0,0,true
34,Tukituki,https://en.wikipedia.org/wiki/Tukituki,9.54,164,1,0,0,0,true
